,Gene_ID,Comparison,NR ID,NT ID,KO Name,Swissprot ID,PFAM ID,KOG ID,Hit1_acc,,,,,,
725,PGSC0003DMG400001452,Cv653,XP_006338371.1,XM_004232120.2,"YTM1, WDR12",Q9LF27,PF00400//PF11808,KOG0313,WDR12_ARATH,,,,,,
726,PGSC0003DMG400014266,Cv653,XP_006353368.1,XM_006353308.2,SFRS4_5_6,P92965,PF08777//PF08675//PF00076,KOG0106,RS40_ARATH,,,,,,
727,PGSC0003DMG400029625,Cv653,XP_004247835.1,XM_006360275.2,--,Q5F259,PF13606,KOG0522,AN13B_MOUSE,,,,,,
728,PGSC0003DMG402008350,Cv653,XP_006362246.1,AC237875.1,"RP-S28e, RPS28",P46302,PF01200,KOG3502,RS28_MAIZE,,,,,,
729,PGSC0003DMG400015510,Cv653,XP_006346966.1,XM_006346904.2,--,Q6K5Q0,PF00190,--,GL21_ORYSJ,,,,,,
730,PGSC0003DMG400031072,Cv653,AFU61114.1,XM_015315417.1,--,Q84K00,PF02365,--,NAC78_ARATH,,,,,,
731,Novel02135,Cv653,XP_006353385.1,XM_015307467.1,--,--,--,--,-,,,,,,
732,Novel02397,Cv653,XP_006349568.1,XM_006345459.2,E1.11.1.7,P22195,PF00141,--,PER1_ARAHY,,,,,,
733,Novel01055,Cv653,XP_006356377.1,XM_006356315.2,ECM29,Q5VYK3,--,KOG0915,ECM29_HUMAN,,,,,,
734,PGSC0003DMG400003591,Cv653,XP_006340788.1,XM_006340726.2,PLD1_2,Q9C5Y0,PF00168//PF00614//PF04061,KOG1329,PLDD1_ARATH,,,,,,
735,PGSC0003DMG400003339,Cv653,XP_006366439.1,XM_006366377.2,--,O48716,PF00400,KOG0274,JGB_ARATH,,,,,,
736,PGSC0003DMG400007199,Cv653,XP_006364769.1,XM_006364707.2,"EGD2, NACA",Q9LHG9,PF09026,KOG2239,NACA1_ARATH,,,,,,
737,PGSC0003DMG400028394,Cv653,XP_006348752.1,XM_006348690.2,E2.1.1.127,P94026,PF00036//PF00856//PF13499//PF13405//PF02732,--,RBCMT_TOBAC,,,,,,
738,PGSC0003DMG400018990,Cv653,XP_006361896.1,XM_006361834.2,--,Q3MKY2,PF00657,--,AAE_RAUSE,,,,,,
739,PGSC0003DMG402002270,Cv653,XP_006358394.1,XM_006358332.2,--,Q8L7W2,PF00293,KOG0648,NUDT8_ARATH,,,,,,
740,PGSC0003DMG400032136,Cv653,XP_006354150.1,HG975440.1,--,--,--,--,-,,,,,,
741,PGSC0003DMG400013221,Cv653,XP_006367620.1,XM_006367558.2,--,P14009,--,--,14KD_DAUCA,,,,,,
742,PGSC0003DMG400030251,Cv653,XP_006364035.1,XM_015303761.1,--,Q9LS10,PF03492,--,MT810_ARATH,,,,,,
743,PGSC0003DMG400029591,Cv653,XP_006355213.1,XM_006355151.2,phrB,Q38JU2,PF09029,KOG0133,CRYD_SOLLC,,,,,,
744,PGSC0003DMG400003119,Cv653,XP_006361992.1,XM_015302789.1,--,Q7XJJ7,PF02038,KOG1211,FAAH_ARATH,,,,,,
745,Novel00447,Cv653,XP_006337958.1,XM_006337896.2,--,Q940A2,PF16557//PF06293//PF07714//PF00069//PF00481,KOG0698,P2C31_ARATH,,,,,,
746,PGSC0003DMG400030473,Cv653,NP_001234247.1,XM_015224129.1,"UBE2D_E, UBC4, UBC5",P35135,PF05743//PF05773,KOG0417,UBC4_SOLLC,,,,,,
747,PGSC0003DMG400021509,Cv653,XP_006362058.1,HG975516.1,--,Q9SZE8,--,--,LBD39_ARATH,,,,,,
748,PGSC0003DMG400015998,Cv653,XP_006363657.1,XM_006363595.2,"RP-LP1, RPLP1",Q8LCW9,--,KOG1762,RLA11_ARATH,,,,,,
749,PGSC0003DMG401020784,Cv653,XP_006361723.1,XM_006361661.2,HY5,Q9SM50,PF13851//PF06156//PF01166//PF09726//PF08826//PF10399//PF00170//PF04977//PF07716//PF03131,--,HY5_SOLLC,,,,,,
750,PGSC0003DMG400015799,Cv653,XP_006353879.1,XM_006353817.2,--,--,--,--,-,,,,,,
751,PGSC0003DMG400021614,Cv653,XP_006364662.1,XM_006364600.2,--,Q8GY97,PF04142,KOG2234,CSTR2_ARATH,,,,,,
752,PGSC0003DMG400019528,Cv653,XP_006364590.1,XM_006364528.2,--,Q8LFV3,PF00897//PF02701//PF02724,--,CDF3_ARATH,,,,,,
753,PGSC0003DMG402025785,Cv653,XP_006346446.1,XM_015308290.1,--,Q9FIX3,PF14955//PF01031//PF12063,--,PP407_ARATH,,,,,,
754,PGSC0003DMG400025803,Cv653,XP_006346525.1,XM_006346463.2,E1.11.1.7,Q9FX85,PF00141,--,PER10_ARATH,,,,,,
755,PGSC0003DMG400016270,Cv653,XP_006350653.1,XM_006350591.2,HSFF,Q9LUH8,PF04889//PF05184//PF00178//PF00447,--,HFA6B_ARATH,,,,,,
756,Novel02363,Cv653,XP_009606176.1,XM_006338104.2,--,O81016,PF00004//PF00005//PF01926//PF13304//PF03796//PF03193//PF01061//PF01637,KOG0065,AB32G_ARATH,,,,,,
757,Novel01563,Cv653,XP_006347082.1,XM_006347020.2,"CKAP5, XMAP215",Q94FN2,PF11640//PF02985,KOG1820,MOR1_ARATH,,,,,,
758,PGSC0003DMG400046546,Cv653,XP_006346074.1,XM_006346012.2,--,--,PF01695//PF00931//PF13676,--,-,,,,,,
759,PGSC0003DMG400027161,Cv653,XP_004239876.1,XM_015312492.1,"RP-L29e, RPL29",Q84WM0,PF01779,KOG3504,RL292_ARATH,,,,,,
760,PGSC0003DMG400030953,Cv653,XP_006362045.1,XR_001471576.1,"NOP4, RBM28",Q9NW13,PF00076//PF06459,KOG0127,RBM28_HUMAN,,,,,,
761,PGSC0003DMG400002729,Cv653,XP_006341189.1,XM_006341127.2,"RP-L24e, RPL24",O65743,PF13897,KOG1722,RL24_CICAR,,,,,,
762,Novel02633,Cv653,XP_006356227.1,XM_006356165.2,"TIF31, CLU1",F4JKH6,--,--,TSS_ARATH,,,,,,
763,PGSC0003DMG400024161,Cv653,XP_009772156.1,XM_015224701.1,--,Q6F6Y2,PF05834//PF01494//PF12831//PF07992//PF08491//PF01266//PF01593//PF01134//PF00070,--,HPXO_ACIAD,,,,,,
764,PGSC0003DMG403001521,Cv653,XP_002272512.1,HG975441.1,--,Q9C523,--,--,DIR19_ARATH,,,,,,
765,PGSC0003DMG400018761,Cv653,XP_006346855.1,HG975442.1,"amt, AMT, MEP",Q9FVN0,PF00909//PF00700,KOG0682,AMT13_SOLLC,,,,,,
766,PGSC0003DMG400015463,Cv653,XP_006342577.1,XM_006342515.2,"OTC, argF, argI",O50039,PF07677//PF00185,KOG1504,OTC_ARATH,,,,,,
767,PGSC0003DMG400006576,Cv653,AAG31013.1,AY007366.1,--,Q6L3Z4,PF00931,--,R1B12_SOLDE,,,,,,
768,PGSC0003DMG400008730,Cv653,HG975521.1,HG975521.1,--,--,--,--,-,,,,,,
769,PGSC0003DMG400006640,Cv653,XP_006361322.1,XM_006361260.2,--,Q9SRT0,PF11605//PF00064//PF00514//PF04564//PF11789,--,PUB9_ARATH,,,,,,
770,PGSC0003DMG400012566,Cv653,XP_006351858.1,XM_015310657.1,--,Q93V88,PF00481//PF07228//PF05964//PF03542,KOG1379,P2C62_ARATH,,,,,,
771,PGSC0003DMG400026532,Cv653,XP_006349079.1,XM_006349017.1,--,Q9FVE6,PF07263//PF06305//PF04889//PF04147//PF02724,--,HDT1_ARATH,,,,,,
772,PGSC0003DMG400008223,Cv653,XP_006351581.1,XM_006351519.2,HSFF,P41152,PF00612//PF14817//PF00447//PF04891//PF04111//PF03310//PF06303,KOG0627,HSF30_SOLPE,,,,,,
773,PGSC0003DMG400019418,Cv653,XP_006358674.1,XM_006358612.2,--,Q7XA40,PF00931//PF13855,--,RGA3_SOLBU,,,,,,
774,PGSC0003DMG400001529,Cv653,XP_006340817.1,XM_006340755.2,--,Q05540,PF00182,KOG4742,CHIB_SOLLC,,,,,,
775,PGSC0003DMG400017069,Cv653,XP_006351975.1,XM_015306106.1,LUP4,E7DN63,PF00432,KOG0497,BAMS_SOLLC,,,,,,
776,PGSC0003DMG400005082,Cv653,XP_004234482.1,XM_006343232.2,bglB,O80690,PF00150//PF00232,--,BGL46_ARATH,,,,,,
777,PGSC0003DMG400026285,Cv653,XP_006357073.1,XM_006357011.2,--,Q6GR43,--,KOG3318,EMC4_XENLA,,,,,,
778,PGSC0003DMG400013229,Cv653,XP_006365287.1,XR_001472595.1,--,--,PF14764,--,-,,,,,,
779,PGSC0003DMG400013098,Cv653,XP_006349259.1,XM_006349198.2,--,Q40392,PF05496//PF00735//PF00158//PF01637//PF07728//PF01057//PF00931//PF00910//PF13855//PF00005//PF00004//PF14532//PF13676//PF00560//PF01582,--,TMVRN_NICGU,,,,,,
780,PGSC0003DMG400016480,Cv653,XP_004232709.1,XM_004232661.2,--,--,PF15798,--,-,,,,,,
781,PGSC0003DMG400027392,Cv653,XP_004251441.2,XM_004251393.2,--,Q39191,PF07645//PF08488//PF00069//PF00008//PF07714//PF03171,--,WAK1_ARATH,,,,,,
782,PGSC0003DMG400018428,Cv653,XP_006355113.1,XM_015312184.1,--,Q40392,PF00004//PF07724//PF00901//PF13855//PF00931//PF01582//PF13676,--,TMVRN_NICGU,,,,,,
783,PGSC0003DMG400034095,Cv653,XP_006368032.1,XM_006367970.2,--,--,PF00257//PF04119,--,-,,,,,,
784,PGSC0003DMG400013099,Cv653,XP_006349261.1,XM_006349200.2,--,Q6K5Q0,PF00190,--,GL21_ORYSJ,,,,,,
785,PGSC0003DMG400004684,Cv653,XP_006349868.1,XM_006349806.2,--,Q84R11,PF13202//PF00036//PF13833//PF04607//PF13499//PF13405,KOG0036,CRSH_ARATH,,,,,,
786,PGSC0003DMG400005642,Cv653,XP_004235808.1,XM_006341532.2,"RP-S7e, RPS7",Q9ZNS1,PF01251,KOG3320,RS7_AVIMR,,,,,,
787,PGSC0003DMG400006230,Cv653,XP_009622855.1,HG975449.1,--,--,--,--,-,,,,,,
788,Novel00507,Cv653,XP_007207822.1,XM_006345356.2,"UBL5, HUB1",Q9FGZ9,PF14560//PF00240,KOG3493,UBL5_ARATH,,,,,,
789,PGSC0003DMG400012263,Cv653,XP_004245502.1,XM_006343769.2,GRXCR1,Q9FLE8,PF00462,KOG2824,Y5986_ARATH,,,,,,
790,PGSC0003DMG400011548,Cv653,XP_006342662.1,XM_006342600.2,--,Q96289,PF13465//PF13912//PF07975//PF00096//PF17123//PF16622,--,ZAT10_ARATH,,,,,,
791,PGSC0003DMG400028606,Cv653,XP_006361864.1,XM_006361802.2,"SPCS3, SPC3",Q53YF3,PF04573,KOG3372,SPC3B_ARATH,,,,,,
792,PGSC0003DMG400029618,Cv653,XP_006360332.1,XM_006360270.2,ACAA1,Q56WD9,PF02803//PF08541//PF00108,KOG1389,THIK2_ARATH,,,,,,
793,Novel01394,Cv653,XP_006363428.1,XM_006363366.2,--,Q94A41,PF00128//PF07821,KOG0613,AMY3_ARATH,,,,,,
794,PGSC0003DMG400027338,Cv653,XP_006360518.1,XM_006360456.2,--,F8WKW8,PF04101//PF00201,--,UGT9_GARJA,,,,,,
795,PGSC0003DMG400000808,Cv653,XP_006362529.1,XM_015303038.1,--,--,--,--,-,,,,,,
796,PGSC0003DMG400030389,Cv653,XP_006350899.1,XM_006350837.2,--,Q9ZQ85,PF05297,--,EFM_ARATH,,,,,,
797,PGSC0003DMG400003108,Cv653,NP_001275266.1,HG975440.1,--,Q7Y214,PF15234//PF13922//PF00439,KOG1474,GTE7_ARATH,,,,,,
798,PGSC0003DMG400003774,Cv653,XP_006342034.1,XM_006341972.2,--,Q9FXI9,PF00759//PF14764//PF03786,--,GUN2_ARATH,,,,,,
799,PGSC0003DMG400004251,Cv653,XP_006364117.1,HG975524.1,--,--,--,--,-,,,,,,
800,PGSC0003DMG402000020,Cv653,XP_010326198.1,XM_015311649.1,E1.1.1.208,Q9M2E2,PF01370//PF00106,KOG1208,SDR1_ARATH,,,,,,
801,PGSC0003DMG400030212,Cv653,XP_011097626.1,NM_001288022.1,NR,P17570,PF00175//PF03404//PF00174//PF08030,KOG0535,NIA_SOLLC,,,,,,
802,PGSC0003DMG402027859,Cv653,XP_006367308.1,XM_006367246.2,--,Q9C9Q4,--,KOG0431,JAC1_ARATH,,,,,,
803,PGSC0003DMG400017191,Cv653,XP_006354527.1,XM_006354465.2,--,F8WKW8,PF04101//PF03033//PF03370//PF00201,--,UGT9_GARJA,,,,,,
804,PGSC0003DMG400034307,Cv653,XP_006352176.1,XR_001474022.1,AHK2_3_4,Q9C5U1,PF02689//PF00156//PF00072//PF03423//PF00512,KOG0519,AHK3_ARATH,,,,,,
805,PGSC0003DMG400046804,Cv653,XP_006342953.1,XM_006342891.2,SLC25A44,Q5RD67,--,KOG0751,S2544_PONAB,,,,,,
806,PGSC0003DMG400020148,Cv653,XP_006352736.1,XM_006352674.2,"RP-L14e, RPL14",Q9SIM4,PF01929,KOG3421,RL141_ARATH,,,,,,
807,PGSC0003DMG402024654,Cv653,XP_004235980.1,XM_006345100.2,HPSE,Q9FF10,PF03662,--,HPSE1_ARATH,,,,,,
808,PGSC0003DMG401015901,Cv653,XP_009761977.1,XM_006338117.2,"STAG1_2, SCC3, IRR1",O82265,PF02985//PF08597,KOG2011,SCC3_ARATH,,,,,,
809,PGSC0003DMG400024063,Cv653,XP_006343302.1,XM_006343240.2,crtB,P08196,PF00494,--,PSY1_SOLLC,,,,,,
810,PGSC0003DMG400031258,Cv653,XP_006366104.1,XM_006366042.2,"RP-L34e, RPL34",P41098,PF01199,KOG1790,RL34_TOBAC,,,,,,
811,PGSC0003DMG400025219,Cv653,XP_006351055.1,XM_006350993.2,--,Q3ZPN4,PF02458,--,ACMAT_VITLA,,,,,,
812,Novel01751,Cv653,XP_006351500.1,XM_015310512.1,"ADCK, ABC1",Q06567,PF10414,KOG1235,MCP2_YEAST,,,,,,
813,PGSC0003DMG400001853,Cv653,XP_006358625.1,XM_015314009.1,--,Q9LTC0,PF07714//PF00069,--,PBL19_ARATH,,,,,,
814,PGSC0003DMG400017447,Cv653,XP_009765773.1,XR_001472765.1,--,--,PF03272,--,-,,,,,,
815,PGSC0003DMG401001235,Cv653,XP_006337989.1,XM_006337927.2,--,Q9VBX1,--,KOG2030,NEMF_DROME,,,,,,
816,PGSC0003DMG400025976,Cv653,XP_006347913.1,XM_006347851.2,--,Q8GZ38,PF02724//PF00010,--,UNE10_ARATH,,,,,,
817,PGSC0003DMG400007074,Cv653,XP_006348303.1,XM_006348242.2,--,H2DH21,PF00067,KOG0157,C7A29_PANGI,,,,,,
818,Novel02136,Cv653,XP_006343886.1,XM_015307468.1,--,Q0D3J9,--,--,C3H53_ORYSJ,,,,,,
819,PGSC0003DMG400000811,Cv653,XP_006362535.1,XM_006362473.2,RAV,Q9ZWM9,PF02362//PF00847,--,RAV1_ARATH,,,,,,
820,PGSC0003DMG400019405,Cv653,XP_006358652.1,XM_006358590.2,--,Q9SUR3,--,--,RTNLA_ARATH,,,,,,
821,PGSC0003DMG400028901,Cv653,XP_006360184.1,XM_006360122.2,--,--,--,--,-,,,,,,
822,PGSC0003DMG400009147,Cv653,XP_006342901.1,XM_006342839.2,"PIKFYVE, FAB1",Q9LUM0,PF00118//PF01504//PF17123//PF01363,KOG0230,FAB1B_ARATH,,,,,,
823,PGSC0003DMG401022475,Cv653,XP_006347791.1,XM_006347730.2,--,P93025,PF06305,--,PHOT2_ARATH,,,,,,
824,Novel01798,Cv653,XP_006342849.1,XM_006342787.2,"SETX, ALS4",Q00416,PF04851//PF00580//PF03592//PF01443//PF00004//PF01695,KOG1801,SEN1_YEAST,,,,,,
825,PGSC0003DMG400016291,Cv653,BAB71853.1,XM_006350626.2,--,Q9SPK4,PF00069//PF07714//PF05445//PF06293,--,PPCK1_ARATH,,,,,,
826,PGSC0003DMG400030017,Cv653,XP_009611473.1,NM_001288373.1,--,P93026,PF07645//PF08038,KOG1217,VSR1_ARATH,,,,,,
827,PGSC0003DMG400025795,Cv653,NP_001274844.1,XM_015209376.1,E1.14.13.93,Q9LJK2,PF00067,--,ABAH4_ARATH,,,,,,
828,PGSC0003DMG400030087,Cv653,XP_006360800.1,XM_006360738.2,"WNK, PRKWNK",Q9CAV6,PF00069//PF07714//PF02087,KOG0584,WNK1_ARATH,,,,,,
829,PGSC0003DMG400006956,Cv653,XP_006357151.1,XM_006357089.2,"cynT, can",P27141,PF00484,KOG1578,CAHC_TOBAC,,,,,,
830,PGSC0003DMG400016210,Cv653,XP_006353190.1,XM_006353128.2,--,S0EES1,PF04790,--,FUS5_GIBF5,,,,,,
831,Novel03302,Cv653,XP_009589048.1,XM_006343902.2,pepN,Q8H0S9,--,--,PSA_ARATH,,,,,,
832,PGSC0003DMG400018334,Cv653,XP_004230025.1,XM_015207259.1,--,--,PF13414//PF13371,--,-,,,,,,
833,PGSC0003DMG400019510,Cv653,XP_006364592.1,XM_006364530.2,"chlP, bchP",Q9ZS34,PF01134//PF00070//PF05834//PF01266//PF07992//PF01494//PF12831,--,CHLP_TOBAC,,,,,,
834,PGSC0003DMG400012662,Cv653,AAG01124.1,XM_006363088.2,--,--,--,--,-,,,,,,
835,PGSC0003DMG400023833,Cv653,XP_004252384.1,XM_006365738.2,FAD2,Q8GZC3,PF00487//PF11960,--,FAD2_VERFO,,,,,,
836,PGSC0003DMG400024497,Cv653,XP_006345049.1,XM_006344987.2,SIS3,Q8GYT9,PF12678//PF17123//PF13639//PF14634//PF00097//PF12861//PF04117,KOG0800,SIS3_ARATH,,,,,,
837,PGSC0003DMG400029760,Cv653,NP_001275276.1,NM_001288347.1,"RP-L3e, RPL3",P35684,PF00297,KOG0746,RL3_ORYSJ,,,,,,
838,PGSC0003DMG400014458,Cv653,XP_006346641.1,XM_006346579.2,--,Q9LVH4,PF00168,--,CAR4_ARATH,,,,,,
839,PGSC0003DMG400011900,Cv653,XP_004248043.1,XM_004247995.2,--,Q6L400,PF00931//PF13855//PF00448//PF11629,--,R1B16_SOLDE,,,,,,
840,Novel00284,Cv653,XP_006359158.1,XM_006359096.2,--,--,PF03239,--,-,,,,,,
841,PGSC0003DMG400019531,Cv653,XP_006364595.1,XM_006364533.2,--,Q42463,--,--,DCL_SOLLC,,,,,,
842,PGSC0003DMG400020637,Cv653,XP_006344091.1,XM_006344029.2,"RP-S8e, RPS8",Q08069,--,KOG3283,RS8_MAIZE,,,,,,
843,PGSC0003DMG400002196,Cv653,XP_006345303.1,XM_006345241.2,--,Q9LHE3,PF00026,--,ASPG2_ARATH,,,,,,
844,PGSC0003DMG400018621,Cv653,XP_006357611.1,XM_006357549.2,--,Q94C27,PF13181//PF00515//PF13414//PF13174//PF12937//PF00646//PF02944,KOG1550,FB84_ARATH,,,,,,
845,PGSC0003DMG400010048,Cv653,KDP24356.1,XR_366537.2,--,--,--,--,-,,,,,,
846,PGSC0003DMG400016004,Cv653,XP_006365343.1,XM_006365281.2,--,Q9LY05,PF00847,--,EF106_ARATH,,,,,,
847,Novel01794,Cv653,XP_006343006.1,XM_006342944.2,PHOSPHO2,Q67YC0,PF06888,KOG3120,PPSP1_ARATH,,,,,,
848,PGSC0003DMG400020657,Cv653,XP_006366807.1,NM_001287874.1,"RP-L5e, RPL5",Q6UNT2,PF00861,KOG0875,RL5_CUCSA,,,,,,
849,PGSC0003DMG400021515,Cv653,XP_006362068.1,HG975516.1,--,Q9V4N3,PF09177,KOG0537,CYB5_DROME,,,,,,
850,PGSC0003DMG402030499,Cv653,XP_006344237.1,XM_006344175.2,--,Q67Y69,--,--,WDL7_ARATH,,,,,,
851,PGSC0003DMG400021194,Cv653,XP_004233887.1,XM_015311165.1,"KDM5, JARID1",Q8GUI6,PF05964//PF05965,KOG1246,JMJ14_ARATH,,,,,,
852,PGSC0003DMG400028174,Cv653,XP_006339116.1,XM_006339054.2,RPF2,Q9AWM9,--,KOG3031,RPF2_ORYSJ,,,,,,
853,PGSC0003DMG400018515,Cv653,XP_006350499.1,XM_006350438.2,--,Q28E13,PF07690//PF01061//PF05631//PF00083,--,MFSD5_XENTR,,,,,,
854,PGSC0003DMG400011741,Cv653,XP_004243641.1,XM_006357815.2,"RP-L27e, RPL27",P51419,PF01777,KOG3418,RL273_ARATH,,,,,,
855,PGSC0003DMG400024475,Cv653,XP_006345017.1,XM_006344956.2,--,C0SVV6,PF00432//PF07887,--,CB60A_ARATH,,,,,,
856,PGSC0003DMG400021346,Cv653,XP_006348418.1,XM_006348356.1,"KDM8, JMJD5",Q8RWR1,PF00515,KOG2132,JMJ30_ARATH,,,,,,
857,PGSC0003DMG401011174,Cv653,XP_006343664.1,XM_006343602.2,--,--,--,--,-,,,,,,
858,PGSC0003DMG400017437,Cv653,XP_006341755.1,XM_006341693.2,--,Q86YT6,PF00023//PF13606,KOG0504,MIB1_HUMAN,,,,,,
859,PGSC0003DMG402013636,Cv653,XP_006364827.1,XM_006364766.2,SEC24,Q9SFU0,--,--,SC24A_ARATH,,,,,,
860,PGSC0003DMG400034115,Cv653,BAR94037.1,AC243048.1,TPS31,Q84LF0,PF01397//PF03936//PF05024,--,5EAS2_NICAT,,,,,,
861,PGSC0003DMG400019435,Cv653,NP_001275628.1,JX683442.1,--,P09762,PF00187//PF00967,--,WIN2_SOLTU,,,,,,
862,PGSC0003DMG400011740,Cv653,ADJ96636.1,NM_001287870.1,--,Q2V6J9,PF04101//PF00201,--,UFOG7_FRAAN,,,,,,
863,PGSC0003DMG400013533,Cv653,XP_006348794.1,XM_006348587.2,--,Q8GZ53,PF00685,KOG1584,SOT14_ARATH,,,,,,
864,Novel00552,Cv653,XP_006358572.1,NM_001288021.1,HVS,G5CV45,PF03936,--,TPS32_SOLLC,,,,,,
865,PGSC0003DMG402027248,Cv653,XP_009783214.1,XM_006350129.2,"IDE, ide",O22941,PF02761,KOG0959,IDE1_ARATH,,,,,,
866,PGSC0003DMG401007600,Cv653,XP_006367245.1,XM_004250422.2,--,Q0WMY5,PF13181//PF00515//PF13414//PF16367//PF00076,--,PP365_ARATH,,,,,,
867,PGSC0003DMG400011058,Cv653,XP_006339038.1,XM_006338976.2,--,Q9FZ84,PF00076,KOG0123,RBG6_ARATH,,,,,,
868,Novel01882,Cv653,XP_006353904.1,XM_006353842.2,"TC.MATE, SLC47A, norM, mdtK, dinF",F4JTB3,PF01554,--,DTX35_ARATH,,,,,,
869,PGSC0003DMG400012093,Cv653,XP_006356878.1,XM_006356816.2,"CACYBP, SIP",Q6AYK6,PF03614,KOG3260,CYBP_RAT,,,,,,
870,PGSC0003DMG400029860,Cv653,HG975449.1,HG975449.1,--,--,PF03982,--,-,,,,,,
871,PGSC0003DMG400013506,Cv653,XP_010320570.1,XM_015312842.1,--,Q6L400,PF13855//PF00931,--,R1B16_SOLDE,,,,,,
872,PGSC0003DMG402024074,Cv653,XP_004234493.1,XM_015306942.1,--,--,--,--,-,,,,,,
873,Novel01078,Cv653,XP_006340227.1,XM_006340165.2,--,Q9LRR4,PF00005//PF00004//PF00931,--,R13L1_ARATH,,,,,,
874,PGSC0003DMG400005851,Cv653,XP_006352228.1,XM_006352166.2,--,B1LLJ9,PF03328,--,RHMA_ECOSM,,,,,,
875,Novel00472,Cv653,XP_006358205.1,XM_015314001.1,--,--,--,--,-,,,,,,
876,PGSC0003DMG400029931,Cv653,XP_004240722.1,XM_006363268.2,"TC.MATE, SLC47A, norM, mdtK, dinF",F4JTB3,PF06525//PF01554,--,DTX35_ARATH,,,,,,
877,PGSC0003DMG400027054,Cv653,XP_006347379.1,XM_006347317.1,--,P13087,PF00197//PF05739,--,MIRA_SYNDU,,,,,,
878,PGSC0003DMG400007850,Cv653,XR_367474.2,XR_367474.2,--,--,--,--,-,,,,,,
879,PGSC0003DMG400025398,Cv653,CBI32689.3,NM_001288047.1,"RP-S23e, RPS23",P46297,PF00164,KOG1749,RS23_FRAAN,,,,,,
880,PGSC0003DMG402029166,Cv653,XP_006343468.1,XM_015306967.1,CAMKK,Q5HZ38,PF00069,KOG0585,GRIK2_ARATH,,,,,,
881,PGSC0003DMG401006826,Cv653,NP_001234453.1,XM_010325577.1,AAO3,Q7G193,PF01799//PF02738//PF00111//PF00941,KOG0430,ALDO1_ARATH,,,,,,
882,PGSC0003DMG400031325,Cv653,XP_004242239.1,XM_006356439.2,--,Q93ZA3,PF08031//PF01565,--,BBE13_ARATH,,,,,,
883,PGSC0003DMG400008018,Cv653,XP_010320340.1,XM_006354833.2,SCPL-I,Q2V465,PF00326//PF00450,--,SCP11_ARATH,,,,,,
884,PGSC0003DMG400004306,Cv653,XP_004244854.1,XM_006344312.2,--,Q54G05,PF04689,KOG0161,LRRX1_DICDI,,,,,,
885,Novel03326,Cv653,XP_006367266.1,XM_006367204.2,--,Q8GYL7,PF04055,--,PP361_ARATH,,,,,,
886,PGSC0003DMG400004170,Cv653,XP_006344055.1,XM_006343993.2,"asnB, ASNS",O24661,PF04923//PF00733,KOG0571,ASNS_TRIVS,,,,,,
887,PGSC0003DMG400016372,Cv653,XP_006348578.1,XM_015309250.1,--,Q6L3Z7,PF05496//PF08429//PF05699//PF01031//PF00931,--,R1B14_SOLDE,,,,,,
888,PGSC0003DMG400005742,Cv653,XP_006341541.1,XM_006341479.2,--,Q7XTV7,PF12678//PF12861//PF00097//PF12906//PF13639//PF01155//PF17123//PF11789//PF00628//PF14634,--,HIP1_ORYSJ,,,,,,
889,PGSC0003DMG400014159,Cv653,XP_006341429.1,XM_006341367.2,--,Q5R533,PF03348,KOG2592,SERC3_PONAB,,,,,,
890,PGSC0003DMG402025899,Cv653,CDP08508.1,HG975440.1,SCPL-II,Q9ZQQ0,PF00450,--,SCP26_ARATH,,,,,,
891,PGSC0003DMG400022129,Cv653,XP_006346048.1,XM_006345986.2,--,A3KPF8,PF03525,--,PP131_ARATH,,,,,,
892,PGSC0003DMG400033079,Cv653,XP_006354785.1,XM_006354723.2,"SET, TAF1, I2PP2A",Q8LC68,PF03938//PF08476//PF00956,KOG1508,NRP2_ARATH,,,,,,
893,PGSC0003DMG400007188,Cv653,XP_006364756.1,XM_006364694.2,"E1.14.13.81, acsF, chlE",Q9M591,PF02915//PF03405//PF11093//PF05770,--,CRD1_ARATH,,,,,,
894,PGSC0003DMG400009277,Cv653,XP_006350336.1,XM_006350274.2,--,--,PF02935,--,-,,,,,,
895,PGSC0003DMG400009376,Cv653,XP_006348820.1,XM_006348758.2,"RFA1, RPA1, rpa",O49453,--,--,Y4844_ARATH,,,,,,
896,PGSC0003DMG400001945,Cv653,HG975516.1,HG975516.1,--,--,PF03069,--,-,,,,,,
897,PGSC0003DMG400017997,Cv653,XP_004228511.1,XM_015230491.1,--,A6YIH8,PF00067//PF01393,--,C7D55_HYOMU,,,,,,
898,Novel02329,Cv653,XP_009768274.1,XM_015307232.1,--,--,--,--,-,,,,,,
899,PGSC0003DMG400046676,Cv653,XP_006358254.1,XM_006358192.2,--,Q9STY0,PF05648,--,PX11B_ARATH,,,,,,
900,PGSC0003DMG400011823,Cv653,XP_006356674.1,XM_006356612.2,surE,B2VA83,--,--,SURE_SULSY,,,,,,
901,PGSC0003DMG400005136,Cv653,XP_006341931.1,XM_015306395.1,--,Q8GUH2,PF02175,--,Y1015_ARATH,,,,,,
902,PGSC0003DMG400000584,Cv653,XP_006347516.1,XM_006347454.2,PRR5,Q689G6,PF00072//PF06203,--,PRR95_ORYSJ,,,,,,
903,PGSC0003DMG400003569,Cv653,XP_006340742.1,XM_006340680.2,--,O80327,--,--,TLP1_PYRPY,,,,,,
904,PGSC0003DMG400011840,Cv653,CDP02331.1,XM_006343625.2,"RP-L39e, RPL39",Q5SMI4,PF00832//PF03453,KOG0002,RL393_ORYSJ,,,,,,
