Cluster-12724.0,GO:0006730
Cluster-67248.87315,GO:0006614
Cluster-67248.87670,GO:0007165
Cluster-67248.87698,GO:0055114
Cluster-67248.87839,GO:0051090
Cluster-67248.87881,GO:0006412
Cluster-67248.87944,GO:0006355
Cluster-67248.88066,GO:0055114
Cluster-67248.88075,GO:0055085
Cluster-67248.88088,GO:0045454
Cluster-67248.88133,GO:0006323
Cluster-67248.88711,GO:0006289
Cluster-67248.88741,GO:0042262
Cluster-67248.88914,GO:0006446
Cluster-67248.89076,GO:0045454
Cluster-67248.89429,GO:0051252
Cluster-67248.90443,GO:0006817
Cluster-67248.90888,GO:0046656
Cluster-67248.90898,GO:0042546
Cluster-67248.91024,GO:0006897
Cluster-67248.91387,GO:0009405
Cluster-67248.91595,GO:0006355
Cluster-67248.91693,GO:0055114
Cluster-67248.91850,GO:0006470
Cluster-67248.91872,GO:0006098
Cluster-67248.92042,GO:0032922
Cluster-67248.92145,GO:0009405
Cluster-67248.92191,GO:0008207
Cluster-67248.92208,GO:0006308
Cluster-67248.92213,GO:0006308
Cluster-67248.92432,GO:0006807
Cluster-67248.92549,GO:0030682
Cluster-67248.92568,GO:0006810
Cluster-67248.92570,GO:0055085
Cluster-67248.92575,GO:0043934
Cluster-67248.92821,GO:0005975
Cluster-67248.92937,GO:0055085
Cluster-67248.92938,GO:0009234
Cluster-67248.92940,GO:0006396
Cluster-67248.92943,GO:0008299
Cluster-67248.93175,GO:0006508
Cluster-67248.93194,GO:0005985
Cluster-67248.93473,GO:0006446
Cluster-67248.93474,GO:0009405
Cluster-67248.93476,GO:0007165
Cluster-67248.93520,GO:0006914
Cluster-67248.94104,GO:0006550
Cluster-67248.94279,GO:0006281
Cluster-67248.94495,GO:0055114
Cluster-67248.94559,GO:0006952
Cluster-67248.95273,GO:0016579
Cluster-67248.95310,GO:0006480
Cluster-67248.95363,GO:0005975
Cluster-67248.95417,GO:0006402
Cluster-67248.95673,GO:0015976
Cluster-67248.95718,GO:0008283
Cluster-67248.95792,GO:0006779
Cluster-67248.95858,GO:0009607
Cluster-67248.96060,GO:0055114
Cluster-67248.96255,GO:0006508
Cluster-67248.96312,GO:0008152
Cluster-67248.96338,GO:1903818
Cluster-67248.96480,GO:0006457
Cluster-67248.96569,GO:0006397
Cluster-67248.96582,GO:0006397
Cluster-67248.96624,GO:0006031
Cluster-67248.96714,GO:0006807
Cluster-67248.96719,GO:0006807
Cluster-67248.96862,GO:0006355
Cluster-67248.96874,GO:0006412
Cluster-67248.96925,GO:0005975
Cluster-67248.96943,GO:0006481
Cluster-67248.96973,GO:0019079
Cluster-67248.96980,GO:0006457
Cluster-67248.97196,GO:0042967
Cluster-67248.97239,GO:0008152
Cluster-67248.97436,GO:0055114
Cluster-67248.97521,GO:0006571
Cluster-67248.97627,GO:0043401
Cluster-67248.97639,GO:0009236
Cluster-67248.97664,GO:0055085
Cluster-67248.97697,GO:0006810
Cluster-67248.97739,GO:0015992
Cluster-67248.97741,GO:0006537
Cluster-67248.97742,GO:0016567
Cluster-67248.97832,GO:0055114
Cluster-67248.97838,GO:0009058
Cluster-67248.98110,GO:0006522
Cluster-67248.98193,GO:0005982
Cluster-67248.98272,GO:0006094
Cluster-67248.98283,GO:0006098
Cluster-67248.98319,GO:0043065
Cluster-67248.98373,GO:0016192
Cluster-67248.98385,GO:0009252
Cluster-67248.98417,GO:0006807
Cluster-67248.98425,GO:0016192
Cluster-67248.98441,GO:0055114
Cluster-67248.98475,GO:0055085
Cluster-67248.98532,GO:0006094
Cluster-67248.98578,GO:0015947
Cluster-67248.98677,GO:0006886
Cluster-67248.98761,GO:0006281
Cluster-67248.98903,GO:0008152
Cluster-67248.98959,GO:0005982
Cluster-67248.99044,GO:0055085
Cluster-67248.99067,GO:0006614
Cluster-67248.99225,GO:0006633
Cluster-67248.99365,GO:0055114
Cluster-67248.99383,GO:0055114
Cluster-67248.99426,GO:0007304
Cluster-67248.99445,GO:0009306
Cluster-67248.99537,GO:0006090
Cluster-67248.99637,GO:0009073
Cluster-67248.99760,GO:0006144
Cluster-67248.99809,GO:0006120
Cluster-67248.99818,GO:0006119
Cluster-67248.99822,GO:0006119
Cluster-67248.99848,GO:0006810
Cluster-67248.99884,GO:0006351
Cluster-67248.99896,GO:0050992
Cluster-67248.99907,GO:0006351
Cluster-67248.99916,GO:0006355
Cluster-67248.99927,GO:0006537
Cluster-68372.6,GO:0007283
Cluster-68895.0,GO:0007275
Cluster-73563.2,GO:0006355
Cluster-21872.0,GO:0006568
Cluster-21903.0,GO:0006144
Cluster-34321.0,GO:0007155
Cluster-44121.0,GO:0006754
Cluster-51470.0,GO:0006351
Cluster-5770.1,GO:0009228
Cluster-6023.0,GO:0006563
Cluster-63417.0,GO:0006094
Cluster-67248.100116,GO:0006012
Cluster-67248.100188,GO:0055114
Cluster-67248.100189,GO:0055114
Cluster-67248.100258,GO:0005975
Cluster-67248.100456,GO:0006804
Cluster-67248.100514,GO:0009253
Cluster-67248.100538,GO:0009086
Cluster-67248.100782,GO:0055114
Cluster-67248.100826,GO:0006094
Cluster-67248.100933,GO:0006452
Cluster-67248.100936,GO:0007165
Cluster-67248.101001,GO:0006568
Cluster-67248.101042,GO:0007186
Cluster-67248.101068,GO:0000162
Cluster-67248.101096,GO:0031047
Cluster-67248.101387,GO:0055085
Cluster-67248.101390,GO:0006810
Cluster-67248.101392,GO:0006810
Cluster-67248.101419,GO:0006351
Cluster-67248.101496,GO:0006206
Cluster-67248.101627,GO:0006098
Cluster-67248.101804,GO:0009058
Cluster-67248.101806,GO:0009058
Cluster-67248.101809,GO:0006520
Cluster-67248.101810,GO:0006520
Cluster-67248.101971,GO:0006096
Cluster-67248.101981,GO:0030168
Cluster-67248.102067,GO:0006804
Cluster-67248.102077,GO:0019872
Cluster-67248.102146,GO:0055114
Cluster-67248.102424,GO:0006807
Cluster-67248.102646,GO:0006355
Cluster-67248.102822,GO:0006804
Cluster-67248.103005,GO:0006469
Cluster-67248.103607,GO:0006206
Cluster-67248.104195,GO:0055114
Cluster-67248.104349,GO:0006457
Cluster-67248.105163,GO:0005985
Cluster-67248.105166,GO:0006011
Cluster-67248.105873,GO:0016117
Cluster-67248.106241,GO:0007017
Cluster-67248.106499,GO:0008152
Cluster-67248.106796,GO:0007169
Cluster-67248.106842,GO:0006635
Cluster-67248.107305,GO:0006812
Cluster-67248.107461,GO:0006508
Cluster-67248.107469,GO:0055085
Cluster-67248.107477,GO:0006281
Cluster-67248.107483,GO:0006011
Cluster-67248.107800,GO:0007165
Cluster-67248.108000,GO:0006446
Cluster-67248.108165,GO:0006464
Cluster-67248.108388,GO:0015992
Cluster-67248.108528,GO:0055114
Cluster-67248.10853,GO:0005982
Cluster-67248.109143,GO:0006303
Cluster-67248.109316,GO:0006109
Cluster-67248.109878,GO:0006351
Cluster-67248.110085,GO:0055114
Cluster-67248.110128,GO:0055114
Cluster-67248.110218,GO:0006749
Cluster-67248.110587,GO:0005982
Cluster-67248.110650,GO:0006687
Cluster-67248.111490,GO:0001575
Cluster-67248.111492,GO:0006012
Cluster-67248.111604,GO:0055114
Cluster-67248.111605,GO:0016114
Cluster-67248.112145,GO:0006694
Cluster-67248.112295,GO:0006694
Cluster-67248.112611,GO:0006479
Cluster-67248.113145,GO:0006508
Cluster-67248.113187,GO:0006355
Cluster-67248.113369,GO:0006094
Cluster-67248.115049,GO:0006310
Cluster-67248.115148,GO:0006694
Cluster-67248.115536,GO:0006979
Cluster-67248.115901,GO:0006629
Cluster-67248.115998,GO:0019684
Cluster-67248.116057,GO:0007304
Cluster-67248.116386,GO:0007017
Cluster-67248.116648,GO:0006520
Cluster-67248.116848,GO:0006810
Cluster-67248.117045,GO:0006123
Cluster-67248.117442,GO:0016573
Cluster-67248.117649,GO:0006542
Cluster-67248.117780,GO:0002949
Cluster-67248.117874,GO:0009451
Cluster-67248.118159,GO:0000160
Cluster-67248.118489,GO:0006522
Cluster-67248.120716,GO:0006771
Cluster-67248.120781,GO:0006468
Cluster-67248.12083,GO:0022904
Cluster-67248.120902,GO:0006597
Cluster-67248.121665,GO:0009094
Cluster-67248.121666,GO:0009073
Cluster-67248.121676,GO:0000162
Cluster-67248.122428,GO:0045892
Cluster-67248.123018,GO:0005985
Cluster-67248.123094,GO:0030244
Cluster-67248.123117,GO:0008608
Cluster-67248.123207,GO:0005975
Cluster-67248.123363,GO:0006886
Cluster-67248.123373,GO:0005982
Cluster-67248.123375,GO:0000272
Cluster-67248.125209,GO:0006355
Cluster-67248.125381,GO:0006597
Cluster-67248.126110,GO:0006554
Cluster-67248.126525,GO:0008608
Cluster-67248.127009,GO:0009966
Cluster-67248.127163,GO:0006351
Cluster-67248.127864,GO:0006811
Cluster-67248.128273,GO:0005985
Cluster-67248.130662,GO:0006531
Cluster-67248.130868,GO:0015986
Cluster-67248.130869,GO:0015986
Cluster-67248.130903,GO:0051258
Cluster-67248.131287,GO:0055114
Cluster-67248.131312,GO:0009058
Cluster-67248.131314,GO:0016114
Cluster-67248.131711,GO:0006629
Cluster-67248.131910,GO:0008210
Cluster-67248.132441,GO:0006804
Cluster-67248.134402,GO:0008209
Cluster-67248.135023,GO:0006810
Cluster-67248.135037,GO:0006119
Cluster-67248.135381,GO:0001575
Cluster-67248.135660,GO:0006886
Cluster-67248.138702,GO:0006144
Cluster-67248.139231,GO:0006888
Cluster-67248.140445,GO:0006810
Cluster-67248.140635,GO:0031110
Cluster-67248.141064,GO:0007264
Cluster-67248.141065,GO:0002949
Cluster-67248.141316,GO:0006813
Cluster-67248.142580,GO:0055114
Cluster-67248.143751,GO:0007049
Cluster-67248.143939,GO:0006206
Cluster-67248.144155,GO:0015979
Cluster-67248.144670,GO:0006144
Cluster-67248.145457,GO:0006351
Cluster-67248.14743,GO:0006914
Cluster-67248.147797,GO:0016117
Cluster-67248.148557,GO:0007165
Cluster-67248.149503,GO:0000723
Cluster-67248.150048,GO:0006694
Cluster-67248.150475,GO:0055114
Cluster-67248.150525,GO:0044419
Cluster-67248.152682,GO:0006260
Cluster-67248.154177,GO:0007059
Cluster-67248.154178,GO:0051276
Cluster-67248.154811,GO:0006629
Cluster-67248.157010,GO:0000160
Cluster-67248.157273,GO:0055114
Cluster-67248.158143,GO:0006810
Cluster-67248.158164,GO:0000160
Cluster-67248.158168,GO:0000160
Cluster-67248.15910,GO:0006000
Cluster-67248.163265,GO:0006281
Cluster-67248.165565,GO:0016310
Cluster-67248.165899,GO:0006281
Cluster-67248.171401,GO:0006810
Cluster-67248.172254,GO:0006435
Cluster-67248.173471,GO:0006694
Cluster-67248.21632,GO:0008207
Cluster-67248.21861,GO:0016567
Cluster-67248.22994,GO:0006281
Cluster-67248.25931,GO:0006919
Cluster-67248.2681,GO:0006184
Cluster-67248.27951,GO:0006886
Cluster-67248.28001,GO:0071973
Cluster-67248.32882,GO:0006144
Cluster-67248.36113,GO:0007017
Cluster-67248.38271,GO:0055114
Cluster-67248.38272,GO:0008053
Cluster-67248.39226,GO:0006810
Cluster-67248.41201,GO:0006886
Cluster-67248.41239,GO:0055114
Cluster-67248.41724,GO:0007165
Cluster-67248.41890,GO:0000162
Cluster-67248.45605,GO:0006810
Cluster-67248.45606,GO:0055085
Cluster-67248.46132,GO:0009584
Cluster-67248.4724,GO:0006744
Cluster-67248.47429,GO:0055114
Cluster-67248.47681,GO:0030639
Cluster-67248.52468,GO:0006109
Cluster-67248.53188,GO:0006563
Cluster-67248.55188,GO:0006952
Cluster-67248.55330,GO:0006412
Cluster-67248.55407,GO:0042475
Cluster-67248.55801,GO:0006812
Cluster-67248.56048,GO:0006886
Cluster-67248.56391,GO:0055114
Cluster-67248.56524,GO:0055114
Cluster-67248.58313,GO:0005982
Cluster-67248.58782,GO:0006952
Cluster-67248.62306,GO:0009878
Cluster-67248.63030,GO:0006950
Cluster-67248.63032,GO:0006629
Cluster-67248.64713,GO:0031221
Cluster-67248.65394,GO:0006351
Cluster-67248.66039,GO:0006012
Cluster-67248.66995,GO:0018874
Cluster-67248.69215,GO:0006355
Cluster-67248.69949,GO:0035556
Cluster-67248.70115,GO:0006260
Cluster-67248.70181,GO:0007017
Cluster-67248.70526,GO:0006313
Cluster-67248.74369,GO:0006810
Cluster-67248.75006,GO:0006694
Cluster-67248.76022,GO:0006810
Cluster-67248.78769,GO:0055114
Cluster-67248.78919,GO:0006952
Cluster-67248.78974,GO:0006508
Cluster-67248.79498,GO:0006355
Cluster-67248.79805,GO:0006351
Cluster-67248.79820,GO:0006886
Cluster-67248.79924,GO:0006804
Cluster-67248.79928,GO:0006310
Cluster-67248.80043,GO:0055114
Cluster-67248.80850,GO:0019915
Cluster-67248.81460,GO:0015976
Cluster-67248.81492,GO:0006631
Cluster-67248.81915,GO:0006094
Cluster-67248.82138,GO:0006886
Cluster-67248.82464,GO:0046168
Cluster-67248.82557,GO:0055114
Cluster-67248.83386,GO:0006979
Cluster-67248.83389,GO:0019064
Cluster-67248.83468,GO:0008152
Cluster-67248.83874,GO:0000077
Cluster-67248.84071,GO:0006206
Cluster-67248.84604,GO:0016192
Cluster-67248.84836,GO:0006694
Cluster-67248.85099,GO:0048193
Cluster-67248.85825,GO:0045454
Cluster-67248.86068,GO:0006000
Cluster-67248.86752,GO:0044564
Cluster-67248.86849,GO:0005975
Cluster-67248.86850,GO:0005975
Cluster-67248.86976,GO:0000162
Cluster-67248.87066,GO:0009094
Cluster-67248.87294,GO:0006804
Cluster-67248.87315,GO:0007264
Cluster-67248.87670,GO:0000160
Cluster-67248.87698,GO:0008207
Cluster-67248.87839,GO:0006886
Cluster-67248.88088,GO:0008152
Cluster-67248.88133,GO:0016310
Cluster-67248.88711,GO:0043161
Cluster-67248.88741,GO:0007165
Cluster-67248.89076,GO:0008152
Cluster-67248.90443,GO:0006511
Cluster-67248.91387,GO:0006935
Cluster-67248.91693,GO:0008152
Cluster-67248.91872,GO:0008152
Cluster-67248.92191,GO:0006694
Cluster-67248.92432,GO:0000160
Cluster-67248.92575,GO:0006810
Cluster-67248.92821,GO:0006406
Cluster-67248.92937,GO:0006520
Cluster-67248.92938,GO:0008299
Cluster-67248.92940,GO:0008299
Cluster-67248.93175,GO:0006810
Cluster-67248.93194,GO:0006094
Cluster-67248.93473,GO:0006413
Cluster-67248.93474,GO:0006446
Cluster-67248.93476,GO:0006446
Cluster-67248.93520,GO:0006355
Cluster-67248.94104,GO:0018874
Cluster-67248.94279,GO:0002949
Cluster-67248.94495,GO:0008152
Cluster-67248.94559,GO:0006468
Cluster-67248.95273,GO:0006265
Cluster-67248.95310,GO:0006144
Cluster-67248.95363,GO:0042381
Cluster-67248.95673,GO:0006099
Cluster-67248.95718,GO:0006955
Cluster-67248.96255,GO:0006790
Cluster-67248.96312,GO:0055114
Cluster-67248.96338,GO:0015948
Cluster-67248.96624,GO:0016567
Cluster-67248.96714,GO:0009252
Cluster-67248.96719,GO:0009252
Cluster-67248.96925,GO:0015979
Cluster-67248.97196,GO:0006783
Cluster-67248.97239,GO:0007031
Cluster-67248.97521,GO:0000162
Cluster-67248.97627,GO:0006355
Cluster-67248.97639,GO:0015994
Cluster-67248.97664,GO:0055114
Cluster-67248.97697,GO:0006950
Cluster-67248.97739,GO:0006094
Cluster-67248.97741,GO:0055114
Cluster-67248.97742,GO:0015031
Cluster-67248.98110,GO:0043039
Cluster-67248.98193,GO:0006075
Cluster-67248.98272,GO:0006000
Cluster-67248.98283,GO:0006096
Cluster-67248.98417,GO:0009252
Cluster-67248.98532,GO:0015976
Cluster-67248.98578,GO:0055114
Cluster-67248.98761,GO:0006468
Cluster-67248.98903,GO:0006537
Cluster-67248.98959,GO:0005985
Cluster-67248.99044,GO:0006355
Cluster-67248.99067,GO:0007165
Cluster-67248.99225,GO:0055114
Cluster-67248.99365,GO:0015994
Cluster-67248.99537,GO:0046436
Cluster-67248.99637,GO:0009094
Cluster-67248.99760,GO:0006351
Cluster-67248.99809,GO:0042773
Cluster-67248.99848,GO:0009236
Cluster-67248.99884,GO:0006260
Cluster-67248.99907,GO:0006464
Cluster-67248.99916,GO:0002949
Cluster-67248.99927,GO:0008152
Cluster-21872.0,GO:0006804
Cluster-21903.0,GO:0006206
Cluster-34321.0,GO:0006531
Cluster-5770.1,GO:0000105
Cluster-6023.0,GO:0055114
Cluster-63417.0,GO:0006013
Cluster-67248.100116,GO:0006687
Cluster-67248.100258,GO:0030259
Cluster-67248.100514,GO:0006355
Cluster-67248.100782,GO:0006979
Cluster-67248.100826,GO:0006000
Cluster-67248.100933,GO:0045901
Cluster-67248.100936,GO:0016310
Cluster-67248.101001,GO:0055114
Cluster-67248.101042,GO:0006810
Cluster-67248.101068,GO:0009073
Cluster-67248.101387,GO:0015893
Cluster-67248.101390,GO:0006855
Cluster-67248.101392,GO:0055085
Cluster-67248.101419,GO:0006206
Cluster-67248.101496,GO:0006351
Cluster-67248.101627,GO:0006574
Cluster-67248.101971,GO:0006094
Cluster-67248.101981,GO:0051258
Cluster-67248.102146,GO:0008152
Cluster-67248.102424,GO:0009405
Cluster-67248.102646,GO:0019988
Cluster-67248.103607,GO:0006144
Cluster-67248.104349,GO:0006869
Cluster-67248.105163,GO:0006011
Cluster-67248.105166,GO:0005985
Cluster-67248.105873,GO:0008033
Cluster-67248.106499,GO:0007165
Cluster-67248.106842,GO:0055114
Cluster-67248.107469,GO:0006813
Cluster-67248.107477,GO:0006310
Cluster-67248.107483,GO:0005985
Cluster-67248.107800,GO:0006605
Cluster-67248.108388,GO:0042773
Cluster-67248.108528,GO:0006814
Cluster-67248.10853,GO:0006075
Cluster-67248.109143,GO:0009069
Cluster-67248.109316,GO:0000160
Cluster-67248.110128,GO:0006355
Cluster-67248.110587,GO:0030244
Cluster-67248.110650,GO:0046486
Cluster-67248.111490,GO:0006012
Cluster-67248.111492,GO:0005975
Cluster-67248.112145,GO:0008207
Cluster-67248.113145,GO:0006812
Cluster-67248.113369,GO:0006096
Cluster-67248.115049,GO:0006281
Cluster-67248.115148,GO:0008152
Cluster-67248.115998,GO:0006118
Cluster-67248.117045,GO:0055114
Cluster-67248.117649,GO:0009252
Cluster-67248.118159,GO:0016310
Cluster-67248.118489,GO:0043039
Cluster-67248.120716,GO:0006355
Cluster-67248.120781,GO:0006812
Cluster-67248.120902,GO:0006525
Cluster-67248.121665,GO:0006571
Cluster-67248.121666,GO:0009094
Cluster-67248.121676,GO:0006571
Cluster-67248.123018,GO:0006011
Cluster-67248.123094,GO:0005982
Cluster-67248.123373,GO:0006470
Cluster-67248.123375,GO:0006027
Cluster-67248.125381,GO:0006525
Cluster-67248.126110,GO:0006631
Cluster-67248.126525,GO:0007165
Cluster-67248.127009,GO:0006554
Cluster-67248.127163,GO:0016192
Cluster-67248.131287,GO:0006094
Cluster-67248.131711,GO:0009395
Cluster-67248.131910,GO:0055114
Cluster-67248.134402,GO:0008207
Cluster-67248.135023,GO:0006355
Cluster-67248.135381,GO:0042546
Cluster-67248.135660,GO:0016310
Cluster-67248.138702,GO:0006098
Cluster-67248.139231,GO:0006313
Cluster-67248.140445,GO:0007165
Cluster-67248.140635,GO:0006457
Cluster-67248.141064,GO:0006355
Cluster-67248.141065,GO:0006355
Cluster-67248.141316,GO:0007342
Cluster-67248.143751,GO:0006886
Cluster-67248.144155,GO:0006090
Cluster-67248.144670,GO:0006096
Cluster-67248.145457,GO:0043087
Cluster-67248.14743,GO:0006886
Cluster-67248.147797,GO:0006412
Cluster-67248.149503,GO:0006777
Cluster-67248.150475,GO:0009772
Cluster-67248.152682,GO:0007017
Cluster-67248.157010,GO:0006468
Cluster-67248.158143,GO:0000160
Cluster-67248.165565,GO:0008277
Cluster-67248.165899,GO:0006260
Cluster-67248.171401,GO:0006919
Cluster-67248.172254,GO:0006508
Cluster-67248.173471,GO:0008207
Cluster-67248.21632,GO:0008152
Cluster-67248.22994,GO:0006310
Cluster-67248.25931,GO:0006886
Cluster-67248.27951,GO:0015996
Cluster-67248.28001,GO:0048193
Cluster-67248.38272,GO:0009094
Cluster-67248.41201,GO:0006629
Cluster-67248.41890,GO:0009094
Cluster-67248.45605,GO:0006855
Cluster-67248.45606,GO:0015893
Cluster-67248.4724,GO:0015992
Cluster-67248.47681,GO:0019872
Cluster-67248.52468,GO:0000160
Cluster-67248.53188,GO:0006426
Cluster-67248.55330,GO:0006935
Cluster-67248.56391,GO:0006144
Cluster-67248.58313,GO:0030244
Cluster-67248.62306,GO:0006505
Cluster-67248.63030,GO:0006826
Cluster-67248.63032,GO:0007165
Cluster-67248.66039,GO:0006013
Cluster-67248.66995,GO:0006552
Cluster-67248.69949,GO:0055114
Cluster-67248.70181,GO:0030001
Cluster-67248.70526,GO:0006810
Cluster-67248.74369,GO:0006855
Cluster-67248.76022,GO:0015893
Cluster-67248.78769,GO:0006006
Cluster-67248.78974,GO:0042254
Cluster-67248.79805,GO:0055114
Cluster-67248.79820,GO:0055114
Cluster-67248.79928,GO:0002949
Cluster-67248.80043,GO:0006206
Cluster-67248.81460,GO:0006108
Cluster-67248.81492,GO:0006574
Cluster-67248.82138,GO:0007165
Cluster-67248.82464,GO:0015940
Cluster-67248.83386,GO:0019064
Cluster-67248.83468,GO:0006694
Cluster-67248.84071,GO:0006510
Cluster-67248.85099,GO:0042254
Cluster-67248.86068,GO:0006013
Cluster-67248.86752,GO:0042254
Cluster-67248.86976,GO:0006571
Cluster-67248.87066,GO:0000162
Cluster-67248.87315,GO:0006810
Cluster-67248.87670,GO:0009584
Cluster-67248.87698,GO:0008209
Cluster-67248.88741,GO:0007172
Cluster-67248.91387,GO:0010508
Cluster-67248.91872,GO:0008207
Cluster-67248.92191,GO:0008210
Cluster-67248.92432,GO:0006355
Cluster-67248.93194,GO:0005982
Cluster-67248.93474,GO:0006413
Cluster-67248.94104,GO:0006552
Cluster-67248.94279,GO:0006508
Cluster-67248.94495,GO:0008207
Cluster-67248.95310,GO:0006571
Cluster-67248.95363,GO:0008152
Cluster-67248.95673,GO:0055114
Cluster-67248.95718,GO:0007165
Cluster-67248.96338,GO:0030683
Cluster-67248.96624,GO:0006888
Cluster-67248.97196,GO:0006563
Cluster-67248.97521,GO:0009094
Cluster-67248.97627,GO:0006357
Cluster-67248.97664,GO:0006457
Cluster-67248.97739,GO:0006810
Cluster-67248.98110,GO:0006419
Cluster-67248.98272,GO:0006013
Cluster-67248.98283,GO:0006013
Cluster-67248.98532,GO:0006000
Cluster-67248.98578,GO:0006979
Cluster-67248.98903,GO:0006118
Cluster-67248.99067,GO:0007264
Cluster-67248.99537,GO:0006633
Cluster-67248.99637,GO:0006571
Cluster-67248.99809,GO:0006744
Cluster-67248.99848,GO:0006950
Cluster-67248.99907,GO:0006269
Cluster-67248.99916,GO:0006281
Cluster-67248.99927,GO:0006807
Cluster-21872.0,GO:0015947
Cluster-21903.0,GO:0006351
Cluster-34321.0,GO:0019482
Cluster-5770.1,GO:0009607
Cluster-6023.0,GO:0006546
Cluster-63417.0,GO:0006096
Cluster-67248.100116,GO:0046486
Cluster-67248.100514,GO:0009252
Cluster-67248.100782,GO:0006568
Cluster-67248.100826,GO:0006098
Cluster-67248.100933,GO:0006448
Cluster-67248.100936,GO:0051260
Cluster-67248.101001,GO:0006979
Cluster-67248.101042,GO:0006355
Cluster-67248.101068,GO:0006510
Cluster-67248.101627,GO:0006554
Cluster-67248.101971,GO:0005982
Cluster-67248.101981,GO:0009395
Cluster-67248.102146,GO:0006807
Cluster-67248.104349,GO:0030168
Cluster-67248.105873,GO:0006694
Cluster-67248.106499,GO:0006810
Cluster-67248.107469,GO:0006812
Cluster-67248.107477,GO:0002949
Cluster-67248.108388,GO:0006120
Cluster-67248.108528,GO:0006468
Cluster-67248.109143,GO:0016310
Cluster-67248.110128,GO:0006554
Cluster-67248.110650,GO:0055114
Cluster-67248.112145,GO:0008209
Cluster-67248.113369,GO:0005985
Cluster-67248.115148,GO:0005975
Cluster-67248.115998,GO:0006352
Cluster-67248.117649,GO:0006807
Cluster-67248.120716,GO:0006810
Cluster-67248.123373,GO:0046486
Cluster-67248.123375,GO:0005982
Cluster-67248.126110,GO:0006813
Cluster-67248.127009,GO:0009297
Cluster-67248.131287,GO:0015977
Cluster-67248.131711,GO:0035556
Cluster-67248.131910,GO:0006694
Cluster-67248.134402,GO:0006694
Cluster-67248.135023,GO:0055085
Cluster-67248.140445,GO:0010508
Cluster-67248.140635,GO:0006606
Cluster-67248.141316,GO:0006355
Cluster-67248.143751,GO:0015031
Cluster-67248.147797,GO:0008033
Cluster-67248.149503,GO:0006281
Cluster-67248.150475,GO:0055085
Cluster-67248.152682,GO:0007018
Cluster-67248.158143,GO:0006109
Cluster-67248.165565,GO:0009405
Cluster-67248.165899,GO:0006397
Cluster-67248.171401,GO:0001836
Cluster-67248.172254,GO:0006566
Cluster-67248.173471,GO:0008209
Cluster-67248.21632,GO:0008033
Cluster-67248.27951,GO:0006505
Cluster-67248.38272,GO:0006308
Cluster-67248.41890,GO:0009058
Cluster-67248.4724,GO:0055114
Cluster-67248.52468,GO:0016310
Cluster-67248.53188,GO:0006544
Cluster-67248.55330,GO:0042254
Cluster-67248.63032,GO:0030150
Cluster-67248.66039,GO:0006094
Cluster-67248.66995,GO:0006554
Cluster-67248.69949,GO:0006412
Cluster-67248.78974,GO:0032012
Cluster-67248.79805,GO:0006554
Cluster-67248.79928,GO:0006355
Cluster-67248.80043,GO:0006260
Cluster-67248.81460,GO:0006090
Cluster-67248.81492,GO:0006554
Cluster-67248.82464,GO:0006813
Cluster-67248.83386,GO:0006804
Cluster-67248.83468,GO:0055114
Cluster-67248.85099,GO:0006935
Cluster-67248.86068,GO:0006096
Cluster-67248.86976,GO:0019521
Cluster-67248.87670,GO:0016310
Cluster-67248.87698,GO:0006694
Cluster-67248.88741,GO:0006457
Cluster-67248.91387,GO:0019069
Cluster-67248.91872,GO:0019521
Cluster-67248.92191,GO:0055114
Cluster-67248.92432,GO:0009252
Cluster-67248.93194,GO:0006096
Cluster-67248.94104,GO:0045454
Cluster-67248.94495,GO:0008209
Cluster-67248.95310,GO:0009073
Cluster-67248.95673,GO:0006090
Cluster-67248.95718,GO:0040007
Cluster-67248.96338,GO:0046656
Cluster-67248.96624,GO:0015992
Cluster-67248.97196,GO:0006778
Cluster-67248.97521,GO:0008033
Cluster-67248.97664,GO:0030001
Cluster-67248.97739,GO:0015977
Cluster-67248.98272,GO:0006096
Cluster-67248.98283,GO:0006094
Cluster-67248.98532,GO:0006020
Cluster-67248.98578,GO:0006568
Cluster-67248.98903,GO:0019684
Cluster-67248.99809,GO:0015992
Cluster-67248.99907,GO:0006144
Cluster-67248.99916,GO:0006310
Cluster-21903.0,GO:0055114
Cluster-34321.0,GO:0005975
Cluster-5770.1,GO:0006537
Cluster-6023.0,GO:0006566
Cluster-63417.0,GO:0006276
Cluster-67248.100116,GO:0005985
Cluster-67248.100826,GO:0005975
Cluster-67248.100936,GO:0055114
Cluster-67248.101042,GO:0006614
Cluster-67248.101068,GO:0006571
Cluster-67248.101627,GO:0006552
Cluster-67248.102146,GO:0006537
Cluster-67248.104349,GO:0000921
Cluster-67248.107477,GO:0006355
Cluster-67248.108388,GO:0000902
Cluster-67248.108528,GO:0006744
Cluster-67248.109143,GO:0006886
Cluster-67248.110650,GO:0006027
Cluster-67248.115148,GO:0008209
Cluster-67248.120716,GO:0019497
Cluster-67248.123373,GO:0050852
Cluster-67248.123375,GO:0046486
Cluster-67248.126110,GO:0006550
Cluster-67248.127009,GO:0007275
Cluster-67248.131910,GO:0009085
Cluster-67248.135023,GO:0008608
Cluster-67248.140445,GO:0006891
Cluster-67248.140635,GO:0000090
Cluster-67248.141316,GO:0006897
Cluster-67248.158143,GO:0016310
Cluster-67248.165565,GO:0015031
Cluster-67248.171401,GO:0006915
